cell_index,cell_label,n_seeds,epoch,override_planner.planner_type,total_production_mean,total_production_median,total_production_p10,total_production_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_p10,gini_coefficient_p90,welfare_mean,welfare_median,welfare_p10,welfare_p90,total_tax_revenue_mean,total_tax_revenue_median,total_tax_revenue_p10,total_tax_revenue_p90,total_audits_mean,total_audits_median,total_audits_p10,total_audits_p90,total_catches_mean,total_catches_median,total_catches_p10,total_catches_p90,bunching_intensity_mean,bunching_intensity_median,bunching_intensity_p10,bunching_intensity_p90,enforcement_cost_mean,enforcement_cost_median,enforcement_cost_p10,enforcement_cost_p90
0,planner_type=heuristic,20,0,heuristic,85.32000000000001,83.95,74.95,93.48,0.24685516745322186,0.2451607742761158,0.1938448374779909,0.31973468533397464,5.970858130559104,5.877024818651023,5.227622050898267,6.580220438403861,8.4932,8.475000000000001,7.3964,9.325,9.95,10.0,8.0,11.0,1.45,1.5,1.0,2.0,0.07142857142857142,0.07142857142857142,0.0,0.14285714285714285,4.975,5.0,4.0,5.5
0,planner_type=heuristic,20,1,heuristic,89.95,89.35,72.21,105.53,0.43756998842143896,0.43655267589820357,0.3477970513036423,0.5289699569850908,6.20621500578928,6.18671292038122,4.954119047619048,7.327219938201934,9.1360744,9.2649,6.7095216,11.4182032,10.8,11.0,9.0,13.0,1.55,2.0,1.0,2.0,0.06785714285714285,0.07142857142857142,0.0,0.14285714285714285,5.4,5.5,4.5,6.5
0,planner_type=heuristic,20,2,heuristic,113.27,116.4,82.12,151.18,0.5100850958346996,0.523291166115865,0.4469562826463479,0.5725708502024291,7.835671737796936,8.066970273372592,5.611452271984308,10.558199179246857,12.46489855575,12.049576000000002,7.867665736999999,17.508213599999998,11.7,12.0,10.0,13.0,1.75,2.0,1.0,2.0,0.09642857142857142,0.07142857142857142,0.06428571428571428,0.15,5.85,6.0,5.0,6.5
0,planner_type=heuristic,20,3,heuristic,129.763,121.35,87.88,177.59,0.530786358890794,0.5320475049545952,0.4617950404698004,0.5880346671228129,9.003392534840318,8.399671716596691,5.9886455864609305,12.446724505663544,15.994294897628949,13.071648686111113,8.710790630000002,24.888230641375003,11.3,11.0,9.9,13.1,0.65,1.0,0.0,1.1,0.1607142857142857,0.14285714285714285,0.07142857142857142,0.2857142857142857,5.65,5.5,4.95,6.55
0,planner_type=heuristic,20,4,heuristic,141.1,133.14999999999998,91.27,215.8,0.5408046115086347,0.5313560093637654,0.45891349511414975,0.6167407617809311,9.80816912281711,9.232503731823591,6.2390501622822425,15.112225869417044,19.135868324956636,15.527639029398696,8.4908023515,32.88236632255,12.0,12.0,10.8,14.0,0.1,0.0,0.0,0.1,0.20357142857142857,0.21428571428571427,0.07142857142857142,0.29285714285714287,6.0,6.0,5.4,7.0
0,planner_type=heuristic,20,5,heuristic,170.195,153.45,113.28,240.75,0.537226694751931,0.5472523077029174,0.4520239909663692,0.6030116190345315,11.888172366909748,10.72933791027932,7.830898698444733,16.938177376356784,24.736267930547506,20.185371950974936,13.956473374972134,40.42941520659543,12.4,13.0,10.0,14.0,0.95,1.0,0.0,2.0,0.1357142857142857,0.14285714285714285,0.07142857142857142,0.21428571428571427,6.2,6.5,5.0,7.0
0,planner_type=heuristic,20,6,heuristic,185.98,180.45,118.31,278.23,0.5300978458637817,0.522532821062669,0.44748775851363604,0.5957564415194713,13.019236791353823,12.592368758323115,8.120894132853856,19.62311890195333,29.024098431100807,24.476675827175036,15.310230861359459,53.011201222958455,12.6,13.0,10.9,14.0,0.75,1.0,0.0,2.0,0.12857142857142856,0.10714285714285714,0.0,0.22142857142857142,6.3,6.5,5.45,7.0
0,planner_type=heuristic,20,7,heuristic,193.35999999999999,196.6,121.54,280.28999999999996,0.5310039115062274,0.5223561478945756,0.4504390762217378,0.6188521121794118,13.545926615675457,13.767867893992765,8.358901711327796,19.76309371473806,32.07561241156235,29.506388319460072,18.520370897068545,57.91519591000928,12.65,13.0,11.0,14.0,0.3,0.0,0.0,1.0,0.125,0.14285714285714285,0.0,0.21428571428571427,6.325,6.5,5.5,7.0
0,planner_type=heuristic,20,8,heuristic,217.9,220.25,151.86,286.63,0.5239851574641031,0.5127339345089877,0.4725727850729466,0.5834676199923736,15.302293135553663,15.461014028237642,10.597225111276407,20.235401068537413,37.70963544807389,30.616180339246924,22.70917328434532,61.469901136099736,12.85,13.5,10.9,14.0,0.85,1.0,0.0,2.0,0.08928571428571427,0.07142857142857142,0.0,0.14285714285714285,6.425,6.75,5.45,7.0
0,planner_type=heuristic,20,9,heuristic,232.45499999999998,216.8,158.26,329.11,0.5266680508126278,0.5235069808681261,0.4559839741540628,0.6042790043317962,16.340594546022256,15.200189613311185,11.019439907323449,23.263045082307585,43.22072835347702,35.548850139920894,24.14753063240247,75.77983827035062,13.2,13.0,12.0,14.0,0.7,0.5,0.0,2.0,0.09642857142857142,0.07142857142857142,0.0,0.21428571428571427,6.6,6.5,6.0,7.0
0,planner_type=heuristic,20,10,heuristic,240.265,241.25,159.22,339.58,0.5281200339994343,0.5196644002681836,0.46307375397825057,0.6107120524117778,16.897725697285995,16.97445952226043,11.053114227566756,24.02079421620239,47.1068335429736,38.30472256567974,28.702057565363805,82.07424281151071,13.05,13.0,12.0,14.0,0.35,0.0,0.0,1.1,0.09999999999999999,0.07142857142857142,0.0,0.21428571428571427,6.525,6.5,6.0,7.0
0,planner_type=heuristic,20,11,heuristic,256.18,249.45,170.87,343.95,0.5355794344166613,0.5232742021416954,0.44494483437854077,0.6101212808346009,18.030781711363097,17.561303158550185,11.907351774418602,24.318898714173514,52.38099473598965,41.089729468434115,30.53573143938222,85.4429653275189,13.45,14.0,12.9,14.0,0.9,1.0,0.0,2.0,0.11785714285714285,0.14285714285714285,0.06428571428571428,0.21428571428571427,6.725,7.0,6.45,7.0
0,planner_type=heuristic,20,12,heuristic,271.67,269.95,189.72,368.59,0.5427379543361246,0.5329867525707476,0.4730933893245692,0.6220574910603262,19.133631022831935,18.995048915286368,13.241620530952828,26.097040584476986,59.13295464368215,57.29202057145058,36.08059981037307,97.05069271384671,13.35,13.0,12.9,14.0,0.7,0.0,0.0,2.0,0.11071428571428571,0.14285714285714285,0.0,0.21428571428571427,6.675,6.5,6.45,7.0
0,planner_type=heuristic,20,13,heuristic,273.16499999999996,277.79999999999995,191.47999999999996,373.13999999999993,0.5353852416413848,0.5328422319269,0.4681562678338104,0.5951506719559709,19.244093093465022,19.5721650195552,13.363152799500806,26.404553057899648,62.32914666046254,56.77841755145222,38.45881554421901,104.04703973264408,13.25,14.0,12.0,14.0,0.25,0.0,0.0,1.0,0.10357142857142856,0.10714285714285714,0.0,0.15,6.625,7.0,6.0,7.0
0,planner_type=heuristic,20,14,heuristic,295.87,291.7,201.71,388.09,0.5449908009515345,0.5560930160835301,0.4638877014411326,0.6121517975781409,20.86107602809566,20.576263402152936,14.10062824529281,27.475836594505054,70.10325615085392,64.07586121242055,42.93138188918396,104.68655879562473,13.35,13.5,12.0,14.0,1.0,1.0,0.0,2.0,0.08928571428571427,0.07142857142857142,0.0,0.21428571428571427,6.675,6.75,6.0,7.0
0,planner_type=heuristic,20,15,heuristic,308.76,328.45,212.34,407.98,0.5461544982066541,0.5539396527841906,0.47540855440922214,0.615003578069821,21.781208465182388,23.17372997936947,14.88549922653418,28.89955147572673,77.85844540789051,81.24064323440481,47.85873228060618,116.5625251344302,13.5,14.0,12.9,14.0,0.7,0.0,0.0,2.0,0.10714285714285714,0.10714285714285714,0.0,0.21428571428571427,6.75,7.0,6.45,7.0
0,planner_type=heuristic,20,16,heuristic,321.96999999999997,333.95,221.01,415.18,0.5492710484869755,0.5599810632883393,0.47687474860935053,0.6182940657622955,22.723221618613653,23.57051220857673,15.478831041136067,29.406475606746703,85.95815321391488,90.2294366030091,52.55113329471383,124.26093306289357,13.5,14.0,12.9,14.0,0.2,0.0,0.0,1.0,0.09999999999999999,0.07142857142857142,0.0,0.21428571428571427,6.75,7.0,6.45,7.0
